Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Baleares;Marzo;Total;329
Baleares;Marzo;Hombres;181
Baleares;Marzo;Mujeres;148
Baleares;Abril;Total;333
Baleares;Abril;Hombres;151
Baleares;Abril;Mujeres;182
Baleares;Mayo;Total;255
Baleares;Mayo;Hombres;127
Baleares;Mayo;Mujeres;128
Baleares;Junio;Total;238
Baleares;Junio;Hombres;123
Baleares;Junio;Mujeres;115
Baleares;Julio;Total;241
Baleares;Julio;Hombres;114
Baleares;Julio;Mujeres;127
Baleares;Agosto;Total;312
Baleares;Agosto;Hombres;176
Baleares;Agosto;Mujeres;136
Baleares;Septiembre;Total;265
Baleares;Septiembre;Hombres;136
Baleares;Septiembre;Mujeres;129
Baleares;Octubre;Total;272
Baleares;Octubre;Hombres;128
Baleares;Octubre;Mujeres;144
Baleares;Noviembre;Total;250
Baleares;Noviembre;Hombres;131
Baleares;Noviembre;Mujeres;119
Baleares;Diciembre;Total;287
Baleares;Diciembre;Hombres;160
Baleares;Diciembre;Mujeres;127
Barcelona;Total;Total;19.801
Barcelona;Total;Hombres;9.248
Barcelona;Total;Mujeres;10.553
Barcelona;Enero;Total;1.512
Barcelona;Enero;Hombres;692
Barcelona;Enero;Mujeres;820
Barcelona;Febrero;Total;1.284
Barcelona;Febrero;Hombres;606
Barcelona;Febrero;Mujeres;678
Barcelona;Marzo;Total;2.767
Barcelona;Marzo;Hombres;1.375
Barcelona;Marzo;Mujeres;1.392
Barcelona;Abril;Total;3.635
Barcelona;Abril;Hombres;1.596
Barcelona;Abril;Mujeres;2.039
Barcelona;Mayo;Total;1.377
Barcelona;Mayo;Hombres;613
Barcelona;Mayo;Mujeres;764
Barcelona;Junio;Total;1.084
Barcelona;Junio;Hombres;509
Barcelona;Junio;Mujeres;575
Barcelona;Julio;Total;1.157
Barcelona;Julio;Hombres;520
Barcelona;Julio;Mujeres;637
Barcelona;Agosto;Total;1.27
Barcelona;Agosto;Hombres;587
Barcelona;Agosto;Mujeres;683
Barcelona;Septiembre;Total;1.143
Barcelona;Septiembre;Hombres;511
Barcelona;Septiembre;Mujeres;632
Barcelona;Octubre;Total;1.447
Barcelona;Octubre;Hombres;729
Barcelona;Octubre;Mujeres;718
Barcelona;Noviembre;Total;1.589
Barcelona;Noviembre;Hombres;751
Barcelona;Noviembre;Mujeres;838
Barcelona;Diciembre;Total;1.536
Barcelona;Diciembre;Hombres;759
Barcelona;Diciembre;Mujeres;777
Vizcaya;Total;Total;4.519
Vizcaya;Total;Hombres;2.105
Vizcaya;Total;Mujeres;2.414
Vizcaya;Enero;Total;387
Vizcaya;Enero;Hombres;190
Vizcaya;Enero;Mujeres;197
Vizcaya;Febrero;Total;335
Vizcaya;Febrero;Hombres;135
Vizcaya;Febrero;Mujeres;200
Vizcaya;Marzo;Total;449
Vizcaya;Marzo;Hombres;209
Vizcaya;Marzo;Mujeres;240
Vizcaya;Abril;Total;582
Vizcaya;Abril;Hombres;262
Vizcaya;Abril;Mujeres;320
Vizcaya;Mayo;Total;343
Vizcaya;Mayo;Hombres;141
Vizcaya;Mayo;Mujeres;202
Vizcaya;Junio;Total;293
Vizcaya;Junio;Hombres;133
Vizcaya;Junio;Mujeres;160
Vizcaya;Julio;Total;293
Vizcaya;Julio;Hombres;123
Vizcaya;Julio;Mujeres;170
Vizcaya;Agosto;Total;385
Vizcaya;Agosto;Hombres;196
Vizcaya;Agosto;Mujeres;189
Vizcaya;Septiembre;Total;355
Vizcaya;Septiembre;Hombres;176
Vizcaya;Septiembre;Mujeres;179
Vizcaya;Octubre;Total;364
Vizcaya;Octubre;Hombres;181
Vizcaya;Octubre;Mujeres;183
Vizcaya;Noviembre;Total;356
Vizcaya;Noviembre;Hombres;179
Vizcaya;Noviembre;Mujeres;177
Vizcaya;Diciembre;Total;377
Vizcaya;Diciembre;Hombres;180
Vizcaya;Diciembre;Mujeres;197
Burgos;Total;Total;2.15
Burgos;Total;Hombres;1.055
Burgos;Total;Mujeres;1.095
Burgos;Enero;Total;161
Burgos;Enero;Hombres;70
Burgos;Enero;Mujeres;91
Burgos;Febrero;Total;156
Burgos;Febrero;Hombres;82
Burgos;Febrero;Mujeres;74
Burgos;Marzo;Total;225
Burgos;Marzo;Hombres;123
Burgos;Marzo;Mujeres;102
Burgos;Abril;Total;273
Burgos;Abril;Hombres;119
Burgos;Abril;Mujeres;154
Burgos;Mayo;Total;147
Burgos;Mayo;Hombres;79
Burgos;Mayo;Mujeres;68
Burgos;Junio;Total;130
Burgos;Junio;Hombres;75
Burgos;Junio;Mujeres;55
Burgos;Julio;Total;142
Burgos;Julio;Hombres;70
Burgos;Julio;Mujeres;72
Burgos;Agosto;Total;141
Burgos;Agosto;Hombres;68
Burgos;Agosto;Mujeres;73
Burgos;Septiembre;Total;133
Burgos;Septiembre;Hombres;68
Burgos;Septiembre;Mujeres;65
Burgos;Octubre;Total;161
Burgos;Octubre;Hombres;81
Burgos;Octubre;Mujeres;80
Burgos;Noviembre;Total;269
Burgos;Noviembre;Hombres;121
Burgos;Noviembre;Mujeres;148
Burgos;Diciembre;Total;212
Burgos;Diciembre;Hombres;99
Burgos;Diciembre;Mujeres;113
Cáceres;Total;Total;1.042
Cáceres;Total;Hombres;494
Cáceres;Total;Mujeres;548
Cáceres;Enero;Total;76
Cáceres;Enero;Hombres;33
Cáceres;Enero;Mujeres;43
Cáceres;Febrero;Total;84
Cáceres;Febrero;Hombres;31
Cáceres;Febrero;Mujeres;53
Cáceres;Marzo;Total;100
Cáceres;Marzo;Hombres;54
Cáceres;Marzo;Mujeres;46
Cáceres;Abril;Total;181
Cáceres;Abril;Hombres;73
Cáceres;Abril;Mujeres;108
Cáceres;Mayo;Total;90
Cáceres;Mayo;Hombres;46
Cáceres;Mayo;Mujeres;44
Cáceres;Junio;Total;62
Cáceres;Junio;Hombres;32
Cáceres;Junio;Mujeres;30
Cáceres;Julio;Total;68
Cáceres;Julio;Hombres;29
Cáceres;Julio;Mujeres;39
Cáceres;Agosto;Total;77
Cáceres;Agosto;Hombres;34
Cáceres;Agosto;Mujeres;43
Cáceres;Septiembre;Total;62
Cáceres;Septiembre;Hombres;32
Cáceres;Septiembre;Mujeres;30
Cáceres;Octubre;Total;83
Cáceres;Octubre;Hombres;43
Cáceres;Octubre;Mujeres;40
Cáceres;Noviembre;Total;72
Cáceres;Noviembre;Hombres;36
Cáceres;Noviembre;Mujeres;36
Cáceres;Diciembre;Total;87
Cáceres;Diciembre;Hombres;51
Cáceres;Diciembre;Mujeres;36
Cádiz;Total;Total;1.401
Cádiz;Total;Hombres;711
Cádiz;Total;Mujeres;690
Cádiz;Enero;Total;141
Cádiz;Enero;Hombres;67
Cádiz;Enero;Mujeres;74
Cádiz;Febrero;Total;111
Cádiz;Febrero;Hombres;47
Cádiz;Febrero;Mujeres;64
Cádiz;Marzo;Total;121
Cádiz;Marzo;Hombres;66
Cádiz;Marzo;Mujeres;55
Cádiz;Abril;Total;95
Cádiz;Abril;Hombres;44
Cádiz;Abril;Mujeres;51
Cádiz;Mayo;Total;102
Cádiz;Mayo;Hombres;39
Cádiz;Mayo;Mujeres;63
Cádiz;Junio;Total;94
Cádiz;Junio;Hombres;50
Cádiz;Junio;Mujeres;44
Cádiz;Julio;Total;124
Cádiz;Julio;Hombres;75
Cádiz;Julio;Mujeres;49
Cádiz;Agosto;Total;112
Cádiz;Agosto;Hombres;53
Cádiz;Agosto;Mujeres;59
Cádiz;Septiembre;Total;116
Cádiz;Septiembre;Hombres;61
Cádiz;Septiembre;Mujeres;55
Cádiz;Octubre;Total;128
Cádiz;Octubre;Hombres;74
Cádiz;Octubre;Mujeres;54
Cádiz;Noviembre;Total;119
Cádiz;Noviembre;Hombres;61
Cádiz;Noviembre;Mujeres;58
Cádiz;Diciembre;Total;138
Cádiz;Diciembre;Hombres;74
Cádiz;Diciembre;Mujeres;64
Cantabria;Total;Total;2
Cantabria;Total;Hombres;959
Cantabria;Total;Mujeres;1.041
Cantabria;Enero;Total;183
Cantabria;Enero;Hombres;83
Cantabria;Enero;Mujeres;100
Cantabria;Febrero;Total;148
Cantabria;Febrero;Hombres;63
Cantabria;Febrero;Mujeres;85
Cantabria;Marzo;Total;172
Cantabria;Marzo;Hombres;83
Cantabria;Marzo;Mujeres;89
Cantabria;Abril;Total;198
Cantabria;Abril;Hombres;97
Cantabria;Abril;Mujeres;101
Cantabria;Mayo;Total;146
Cantabria;Mayo;Hombres;60
Cantabria;Mayo;Mujeres;86
Cantabria;Junio;Total;135
Cantabria;Junio;Hombres;64
Cantabria;Junio;Mujeres;71
Cantabria;Julio;Total;154
Cantabria;Julio;Hombres;73
Cantabria;Julio;Mujeres;81
Cantabria;Agosto;Total;173
Cantabria;Agosto;Hombres;79
Cantabria;Agosto;Mujeres;94
Cantabria;Septiembre;Total;171
Cantabria;Septiembre;Hombres;81
Cantabria;Septiembre;Mujeres;90
Cantabria;Octubre;Total;173
Cantabria;Octubre;Hombres;91
Cantabria;Octubre;Mujeres;82
Cantabria;Noviembre;Total;160
Cantabria;Noviembre;Hombres;91
Cantabria;Noviembre;Mujeres;69
Cantabria;Diciembre;Total;187
Cantabria;Diciembre;Hombres;94
Cantabria;Diciembre;Mujeres;93
Castellón;Total;Total;1.527
Castellón;Total;Hombres;776
Castellón;Total;Mujeres;751
Castellón;Enero;Total;141
